region,site_name,upper_nameplate_mw,storage_mwh,status_bucket,priority_rank
VIC1,Acacia Offshore Wind Farm - KCI,3100.0,,Proposed,1
VIC1,Gippsland A&B - Wind - KCI,2700.0,,Proposed,1
VIC1,Gippsland C - Wind - KCI,2700.0,,Proposed,1
VIC1,Great Eastern Offshore Wind - KCI,2508.0,,Proposed,1
NSW1,Eden Offshore Wind Farm,2000.0,,Proposed,1
NSW1,Illawarra Offshore Wind Farm,2000.0,,Proposed,1
NSW1,Novocastrian Offshore Wind Farm,2000.0,,Proposed,1
NSW1,Ulladulla Offshore Wind Farm,2000.0,,Proposed,1
VIC1,Star of The South,2000.0,0.0,Proposed,1
VIC1,Cape Winds Offshore Wind Farm,1995.0,,Proposed,1
VIC1,Blue Mackerel North Off Shore Wind Farm,1819.0,,Proposed,1
SA1,Cultana Pumped Hydro Energy Storage,0.0,1800.0,Proposed,1
NSW1,Wollongong Offshore Wind,1600.0,,Proposed,1
VIC1,Gippsland offshore wind farm,1500.0,,Proposed,1
VIC1,Greater Southern Offshore Wind,1500.0,,Proposed,1
VIC1,Greater Southern Offshore Wind - KCI,1500.0,,Proposed,1
VIC1,Meering Wind Farm,1500.0,,Proposed,1
VIC1,Seadragon offshore wind project,1500.0,,Proposed,1
VIC1,Seadragon project,1500.0,,Proposed,1
NSW1,Eraring Big Battery – Stage 3,0.0,1400.0,Proposed,1
NSW1,Hunter Central Coast Offshore Energy (Wind),1400.0,,Proposed,1
NSW1,Hunter Coast Offshore Wind,1400.0,,Proposed,1
VIC1,Greater Gippsland Offshore Wind,1300.0,,Proposed,1
NSW1,Yanco Delta Wind Farm Stage 1 - Battery,1220.0,0.0,Proposed,1
NSW1,Yanco Delta Wind Farm Stage 1 - Battery - KCI,1220.0,0.0,Proposed,1
NSW1,Kurri Kurri Battery,1200.0,0.0,Proposed,1
SA1,Goyder South hub - Wind,1200.0,,Proposed,1
VIC1,Melbourne Renewable Energy Hub,1200.0,1600.0,Proposed,1
VIC1,Melton Renewable Energy Hub,1200.0,1600.0,Proposed,1
VIC1,Spinifex Offshore Wind Farm,1200.0,,Proposed,1
NSW1,Munmorah BESS,1131.0,0.0,Proposed,1
NSW1,Nonowie Wind Farm,1015.0,,Proposed,1
NSW1,Merriwa BESS 1,1000.0,4000.0,Proposed,1
NSW1,Western Sydney Pumped Hydro Project,1000.0,8000.0,Proposed,1
VIC1,Pacific Green Energy Park Portland West,1000.0,1000.0,Proposed,1
VIC1,Portland BESS,1000.0,1744.71,Proposed,1
VIC1,Yallourn 220kV Connection Gas Turbine,1000.0,,Proposed,1
VIC1,Yallourn 220kV Connection Gas Turbine - KCI,1000.0,,Proposed,1
VIC1,Yallourn 500kV Connection Gas Turbine,1000.0,,Proposed,1
VIC1,Yallourn 500kV Connection Gas Turbine - KCI,1000.0,,Proposed,1
TAS1,Robbins Island Wind Farm,929.0,,Proposed,1
NSW1,Oven Mountain Pumped Storage,900.0,7200.0,Proposed,1
SA1,Goyder South hub - BESS,900.0,,Proposed,1
NSW1,Combined Cycle Gas,880.0,,Proposed,1
NSW1,Marulan - OCGT/CCGT,800.0,,Proposed,1
NSW1,Wandoona Solar Farm,800.0,,Proposed,1
VIC1,Doreen BESS,800.0,0.0,Proposed,1
VIC1,Goorambat BESS (Lighthouse),800.0,0.0,Proposed,1
VIC1,West Mokoan BESS,800.0,0.0,Proposed,1
NSW1,Mt View Wind Farm (KCI),750.0,,Proposed,1
VIC1,Mount Fyans Wind Farm 2.0,750.0,0.0,Proposed,1
VIC1,Nowingi Solar Farm - Edify (KCI),750.0,,Proposed,1
NSW1,Bannaby BESS,700.0,0.0,Proposed,1
NSW1,Deargee,700.0,2800.0,Proposed,1
NSW1,Ruby Hills Wind Farm 700MW,700.0,0.0,Proposed,1
NSW1,Sandy Creek Solar Farm,700.0,,Proposed,1
NSW1,Walcha Energy Project - Ruby Hills Wind Farm,700.0,,Proposed,1
NSW1,Walcha Energy Project - Winterbourne Wind Farm,700.0,,Proposed,1
NSW1,Port Kembla Power Station,660.0,,Proposed,1
NSW1,Burrendong WF,651.0,,Proposed,1
NSW1,Glennis Creek Pumped Hydro Project,642.0,6420.0,Proposed,1
NSW1,Armidale Pumped Hydro,600.0,0.0,Proposed,1
NSW1,Birriwa BESS,600.0,600.0,Proposed,1
NSW1,Birriwa Solar Farm,600.0,,Proposed,1
NSW1,Devlins Bridge Battery Storage,600.0,0.0,Proposed,1
SA1,Goyder South Hub - Solar,600.0,,Proposed,1
SA1,Goyder South hub - Solar,600.0,,Proposed,1
VIC1,Kentbruck Green Power Hub,600.0,,Proposed,1
VIC1,Melbourne Renewable Energy Hub - Side B,600.0,2400.0,Proposed,1
VIC1,Seymour Wind Farm - KCI,600.0,,Proposed,1
VIC1,Tarrone GT,600.0,,Proposed,1
VIC1,Victorian Big Battery 2 - Storage - KCI,600.0,0.0,Proposed,1
VIC1,Wollert Gas Turbine,600.0,,Proposed,1
VIC1,Wollert Gas Turbine - KCI,600.0,,Proposed,1
NSW1,Merriwa Solar Farm,550.0,,Proposed,1
VIC1,Coonawarren BESS - KCI,550.0,0.0,Proposed,1
VIC1,Navarre Wind Farm,526.0,,Proposed,1
NSW1,Aquila Wind Farm,500.0,,Proposed,1
NSW1,Bannaby BESS (AMPYR) - KCI,500.0,0.0,Proposed,1
NSW1,Bells Mountain,500.0,,Proposed,1
NSW1,Great Western Battery Project,500.0,2000.0,Proposed,1
NSW1,Gullen Range Battery Energy System,500.0,500.0,Proposed,1
NSW1,Liddell Solar Farm - KCI,500.0,,Proposed,1
NSW1,Maison Dieu BESS,500.0,0.0,Proposed,1
NSW1,Merriwa Solar Farm and BESS,500.0,,Proposed,1
NSW1,Muswellbrook Pumped Hydro - Storage - KCI,500.0,,Proposed,1
NSW1,NSW Energy Cluster,500.0,,Proposed,1
NSW1,NSW Gas Peaker,500.0,,Proposed,1
NSW1,Rosedale SF,500.0,,Proposed,1
NSW1,Tallawang Solar And BESS,500.0,,Proposed,1
NSW1,Tomago BESS,500.0,2000.0,Proposed,1
NSW1,Wallerawang BESS,500.0,1000.0,Proposed,1
NSW1,Wellington North BESS,500.0,,Proposed,1
NSW1,Wellington North BESS - KCI,500.0,0.0,Proposed,1
SA1,Bundey Energy Hub Battery Energy Storage A,500.0,0.0,Proposed,1
TAS1,Bass Offshore Wind Energy Project,500.0,,Proposed,1
VIC1,Dederang BESS (Trina),500.0,0.0,Proposed,1
VIC1,Dederang Big BESS - KCI,500.0,0.0,Proposed,1
VIC1,KIEWA VALLEY BESS,500.0,1000.0,Proposed,1
VIC1,Malunga BESS - KCI,500.0,0.0,Proposed,1
VIC1,Malunga Nine Mile BESS - KCI,500.0,0.0,Proposed,1
VIC1,Portland Wind Farm - KCI,495.0,,Proposed,1
VIC1,Hazelwood North Solar Farm - KCI,480.0,,Proposed,1
NSW1,Uungala Wind Farm,477.0,,Proposed,1
SA1,Bundey BESS and Solar Project,475.0,,Proposed,1
NSW1,Eraring Big Battery – Stage 1,460.0,920.0,Proposed,1
NSW1,Lindsay Gap BESS,450.0,450.0,Proposed,1
NSW1,Marulan,450.0,,Proposed,1
VIC1,Wimmera Plains Wind Farm,416.0,,Proposed,1
NSW1,Wagga Wagga BESS,415.0,1660.0,Proposed,1
VIC1,Hazelwood Battery Energy Storage System Facility,413.0,,Proposed,1
NSW1,Belhaven Renewable Project,408.0,816.0,Proposed,1
NSW1,Bellambi Heights Renewables Project,408.0,816.0,Proposed,1
NSW1,Tara Springs Wind Farm,402.0,,Proposed,1
VIC1,Birdwood Energy Reserve,402.0,,Proposed,1
VIC1,Birdwood Energy Reserve - KCI,402.0,0.0,Proposed,1
NSW1,Blind Creek SF,400.0,,Proposed,1
NSW1,Bookham WF & BESS,400.0,400.0,Proposed,1
NSW1,Hills of Gold Wind Farm,400.0,,Proposed,1
NSW1,McCullys Gap BESS,400.0,800.0,Proposed,1
NSW1,Merriwa SF,400.0,,Proposed,1
NSW1,Merriwa Solar Farm - BESS,400.0,0.0,Proposed,1
NSW1,Muswellbrook PRO BESS,400.0,0.0,Proposed,1
NSW1,Muswellbrook Pumped Hydro,400.0,3200.0,Proposed,1
NSW1,Talbingo BESS,400.0,1600.0,Proposed,1
NSW1,Texas BESS,400.0,0.0,Proposed,1
NSW1,Tirranna BESS - KCI,400.0,400.0,Proposed,1
NSW1,Uungula BESS,400.0,400.0,Proposed,1
NSW1,Vales Point BESS,400.0,0.0,Proposed,1
SA1,Ceduna Wind Farm,400.0,,Proposed,1
SA1,Marcollat Energy Hub (Stage 1),400.0,1600.0,Proposed,1
SA1,Marcollat Energy Hub (stage 2),400.0,0.0,Proposed,1
SA1,Marcollat Energy Hub(Stage 1),400.0,1600.0,Proposed,1
SA1,Robertstown BESS,400.0,0.0,Proposed,1
