region,site_name,method_1_catchment,method_1_confidence,method_1_matched_keyword,method_2_catchment,method_2_confidence,method_2_nearest_substation,method_2_distance_km,agree,disagreement_class,disagreement_severity,best_capacity_mw
NSW1,Acacia SF,Unclassified,review,,NEW,high,Central Hub (Hub 5),9.24,N,excluded_method_1,medium,
NSW1,Aquila Wind,NEW,medium,Aquila,CWO,medium,Molong,34.91,N,boundary_swap,low,200.0
NSW1,Aquila Wind Farm,NEW,medium,Aquila,CWO,medium,Wellington,30.64,N,boundary_swap,low,
NSW1,Armidale BESS (Elgin),NEW,high,Armidale,NEW,high,Armidale,3.69,Y,,,200.0
NSW1,Armidale Pumped Hydro,NEW,high,Armidale,NEW,medium,Metz,46.64,Y,,,
NSW1,Arundel BESS,Unclassified,review,,SW-NSW,high,Wagga,7.21,N,excluded_method_1,medium,300.0
NSW1,Avonlie Solar Farm,SW-NSW,medium,Avonlie,SW-NSW,high,Lockhart,18.11,Y,,,254.1
NSW1,Bango Wind Farm,SW-NSW,medium,Bango,SW-NSW,high,Rye Park,11.81,Y,,,
NSW1,Bannaby BESS,ILW,medium,Bannaby,ILW,medium,Bannaby,5.12,Y,,,700.0
NSW1,Bannaby BESS (AMPYR) - KCI,ILW,medium,Bannaby,ILW,medium,Bannaby,8.24,Y,,,
NSW1,Bayswater,NEW,review,Bayswater,HCC,high,Bayswater,0.64,N,boundary_swap,low,685.0
NSW1,Belhaven Renewable Project,NEW,medium,Belhaven,SW-NSW,high,Wagga,2.02,N,corridor_misread,high,408.0
NSW1,Bellambi Heights Renewables Project,NEW,medium,Bellambi Heights,CWO,high,Beryl,3.4,N,boundary_swap,low,408.0
NSW1,Bells Mountain,Unclassified,review,,HCC,high,Muswellbrook,2.66,N,excluded_method_1,medium,
NSW1,Bells Mountain Pumped Hydro,Unclassified,review,,HCC,high,Muswellbrook,6.93,N,excluded_method_1,medium,
NSW1,Ben Bullen BESS,CWO,medium,Ben Bullen,CWO,medium,Wallerawang,26.44,Y,,,200.0
NSW1,Bendemeer Renewable Energy Hub - Solar - KCI,NEW,medium,Bendemeer,NEW,high,Bendemeer,1.85,Y,,,218.0
NSW1,Bendemeer Renewable Energy Hub - Wind - KCI,NEW,medium,Bendemeer,NEW,high,Bendemeer,10.23,Y,,,380.0
NSW1,Beresfield BESS,HCC,medium,Beresfield,HCC,high,Beresfield,0.55,Y,,,225.6
NSW1,Beryl Solar Farm,CWO,medium,Beryl,CWO,high,Beryl,1.25,Y,,,98.4
NSW1,Biala Wind Farm,Unclassified,review,,SW-NSW,high,Gullen Range,9.92,N,excluded_method_1,medium,
NSW1,Birriwa BESS,CWO,medium,Birriwa,CWO,high,Merotherie,8.23,Y,,,600.0
NSW1,Birriwa Solar Farm,CWO,medium,Birriwa,CWO,high,Merotherie,8.23,Y,,,600.0
NSW1,Blayney,Unclassified,review,,CWO,medium,Orange,39.79,N,excluded_method_1,medium,
NSW1,Blind Creek SF,SW-NSW,medium,Blind Creek,ILW,high,Capital,5.33,N,boundary_swap,low,
NSW1,Blowering,SW-NSW,medium,Blowering,SW-NSW,high,Blowering,0.08,Y,,,80.0
NSW1,Boco Rock Wind Farm,SW-NSW,medium,Boco Rock,SW-NSW,high,Boco Rock,2.91,Y,,,98.6
NSW1,Bodangora Wind Farm,CWO,review,Bodangora,CWO,high,Wellington,17.35,Y,,,113.19
NSW1,Bomen Solar Farm,SW-NSW,medium,Bomen,SW-NSW,high,Bomen,4.27,Y,,,121.0
NSW1,Bookham WF & BESS,SW-NSW,medium,Bookham,SW-NSW,medium,Burrinjuck,21.42,Y,,,760.0
NSW1,Bowmans Creek Wind Farm,NEW,review,Bowmans Creek,HCC,high,Liddell,11.58,N,boundary_swap,low,346.64
NSW1,Broken Hill,SW-NSW,medium,Broken Hill,SW-NSW,high,Broken Hill,0.03,Y,,,50.0
NSW1,Broken Hill Energy Storage Centre,SW-NSW,medium,Broken Hill,SW-NSW,high,Broken Hill,6.92,Y,,,
NSW1,Broken Hill Solar Plant,SW-NSW,medium,Broken Hill,SW-NSW,high,Broken Hill,2.49,Y,,,53.0
NSW1,Burgmanns BESS,HCC,medium,Burgmanns,NEW,high,Tamworth,4.47,N,boundary_swap,low,200.0
NSW1,Buronga BESS - Storage - KCI,SW-NSW,high,Buronga,SW-NSW,high,Buronga,10.29,Y,,,300.0
NSW1,Burrendong,CWO,medium,Burrendong,CWO,medium,Wellington,20.44,Y,,,19.0
NSW1,Burrendong WF,CWO,medium,Burrendong,CWO,medium,Wellington,31.13,Y,,,
NSW1,Burrinjuck,SW-NSW,medium,Burrinjuck,SW-NSW,high,Burrinjuck,0.23,Y,,,20.0
NSW1,Canyonleigh BESS,ILW,medium,Canyonleigh,ILW,high,Marulan,8.75,Y,,,300.0
NSW1,Capital Battery,ILW,medium,Capital,ILW,high,Sutton Forest,17.37,Y,,,100.32
NSW1,Capital East Solar Farm P1,ILW,medium,Capital,ILW,high,Capital,2.3,Y,,,2.0
NSW1,Capital East Solar Farm P2,ILW,medium,Capital,ILW,high,Capital,2.3,Y,,,
NSW1,Capital Wind Farm,ILW,medium,Capital Wind Farm,ILW,high,Capital,6.51,Y,,,140.7
NSW1,Central West Pumped Hydro,CWO,medium,Central West,CWO,medium,Mt Piper,21.58,Y,,,325.0
NSW1,Coleambally Solar Farm,SW-NSW,medium,Coleambally,SW-NSW,high,Coleambally,2.91,Y,,,150.3
NSW1,Collector,SW-NSW,medium,Collector,SW-NSW,high,Cullerin,7.07,Y,,,226.8
NSW1,Colongra,HCC,medium,Colongra,HCC,high,Munmorah,0.48,Y,,,181.0
NSW1,Copeton,NEW,medium,Copeton,NEW,high,Copeton,0.03,Y,,,20.0
NSW1,Corowa Solar Farm,SW-NSW,medium,Corowa,SW-NSW,high,Corowa,2.93,Y,,,36.01
NSW1,Crookwell,SW-NSW,medium,Crookwell,SW-NSW,high,Crookwell,3.69,Y,,,
NSW1,Crookwell 2 Wind Farm,SW-NSW,medium,Crookwell,SW-NSW,high,Crookwell,3.69,Y,,,96.04
NSW1,Crookwell 3 Wind Farm,SW-NSW,medium,Crookwell,SW-NSW,high,Crookwell,3.54,Y,,,57.6
NSW1,Crudine Ridge Wind Farm,CWO,medium,Crudine Ridge,CWO,medium,Mudgee,37.45,Y,,,141.71
NSW1,Culcairn Solar Farm,SW-NSW,medium,Culcairn,SW-NSW,high,Culcairn,8.96,Y,,,349.98
NSW1,Cullerin Range Wind Farm,SW-NSW,medium,Cullerin,SW-NSW,high,Cullerin,1.21,Y,,,30.0
NSW1,Darlington Point BESS,SW-NSW,high,Darlington Point,SW-NSW,medium,Griffith,22.26,Y,,,
NSW1,Darlington Point Energy Storage System,SW-NSW,high,Darlington Point,SW-NSW,high,Darlington Point,0.22,Y,,,25.0
NSW1,Darlington Point Solar Farm,SW-NSW,high,Darlington Point,SW-NSW,high,Darlington Point,2.63,Y,,,274.97
NSW1,Deargee Solar And BESS,CWO,medium,Deargee,NEW,medium,Northern Hub (Hub 10),21.63,N,boundary_swap,low,700.0
NSW1,Devlins Bridge Battery Storage,CWO,medium,Devlins,SW-NSW,high,Balranald,19.32,N,boundary_swap,low,600.0
NSW1,Dubbo Solar Hub,CWO,medium,Dubbo,CWO,high,Dubbo,2.75,Y,,,
NSW1,EIWA Richmond Valley BESS,Unclassified,review,,Unclassified,Unclassified,Tenterfield,103.35,Y,,,300.0
NSW1,Edderton Hybrid Facility - BESS,NEW,medium,Edderton,HCC,high,Bayswater,11.96,N,boundary_swap,low,350.0
NSW1,Eglington Solar Farm,Unclassified,review,,CWO,medium,Orange,41.95,N,excluded_method_1,medium,
NSW1,Eraring,HCC,high,Eraring,HCC,high,Eraring,0.1,Y,,,720.0
NSW1,Eraring Big Battery,HCC,high,Eraring,HCC,high,Eraring,0.38,Y,,,460.0
NSW1,Eraring Big Battery – Stage 1,HCC,high,Eraring,HCC,high,Eraring,0.36,Y,,,
NSW1,Eraring Big Battery – Stage 2,HCC,high,Eraring,HCC,high,Eraring,0.38,Y,,,
NSW1,Eraring Big Battery – Stage 3,HCC,high,Eraring,HCC,high,Eraring,0.44,Y,,,
NSW1,Euston Wind Farm - KCI,SW-NSW,medium,Euston,SW-NSW,review,Buronga,68.96,Y,,,330.0
NSW1,Finley Solar Farm,SW-NSW,medium,Finley,SW-NSW,high,Finley,1.31,Y,,,162.36
NSW1,Flyers Creek Wind Farm,CWO,medium,Flyers Creek,CWO,medium,Orange,31.08,Y,,,145.54
NSW1,Galore Energy Project - Solar And BESS - KCI,Unclassified,review,,SW-NSW,high,Lockhart,4.7,N,excluded_method_1,medium,
NSW1,Glenbawn,HCC,medium,Glenbawn,HCC,high,Glenbawn,0.03,Y,,,5.0
NSW1,Glenbawn Pumped Hydro Project,NEW,review,Glenbawn Pumped Hydro,HCC,high,Glenbawn,9.61,N,boundary_swap,low,770.0
NSW1,Glenellen Solar Farm,SW-NSW,medium,Glenellen,SW-NSW,high,Jindera,1.73,Y,,,200.0
NSW1,Glennies Creek,HCC,medium,Glennies Creek,HCC,high,Singleton,9.34,Y,,,12.78
NSW1,Glennis Creek Pumped Hydro Project,HCC,medium,Glennis Creek,HCC,medium,Liddell,25.97,Y,,,642.0
NSW1,Goonumbla Solar Farm,CWO,medium,Goonumbla,CWO,high,Parkes,1.66,Y,,,69.75
NSW1,Goulburn River BESS,CWO,review,Goulburn River,HCC,high,Bylong,7.31,N,boundary_swap,low,
NSW1,Goulburn River SF,CWO,review,Goulburn River,HCC,high,Bylong,7.31,N,boundary_swap,low,
NSW1,Goulburn River Solar Farm And BESS,HCC,review,Goulburn River Solar,HCC,high,Bylong,7.31,Y,,,588.0
NSW1,Great Western Battery Project,SW-NSW,medium,Great Western,CWO,medium,Wallerawang,1.2,N,boundary_swap,low,500.0
NSW1,Griffith Solar Farm,SW-NSW,medium,Griffith,SW-NSW,high,Griffith,1.22,Y,,,27.19
NSW1,Gulgong Solar Project,CWO,medium,Gulgong,CWO,medium,Beryl,6.8,Y,,,
NSW1,Gullen Range Battery Energy System,SW-NSW,medium,Gullen Range,SW-NSW,high,Gullen Range,8.09,Y,,,500.0
NSW1,Gullen Range Wind Farm,SW-NSW,medium,Gullen Range,SW-NSW,high,Gullen Range,0.87,Y,,,140.0
NSW1,Gullen Range Wind Farm 2,SW-NSW,medium,Gullen Range,SW-NSW,high,Gullen Range,0.87,Y,,,110.67
NSW1,Gullen Range Wind Farm 2 _x000D_,SW-NSW,medium,Gullen Range,SW-NSW,high,Gullen Range,0.87,Y,,,
NSW1,Gunnedah Solar Farm,NEW,medium,Gunnedah,NEW,high,Gunnedah,4.27,Y,,,110.0
NSW1,Gunning Solar Farm (Photon),SW-NSW,medium,Gunning,SW-NSW,medium,Cullerin,21.42,Y,,,
NSW1,Gunning Wind Farm,SW-NSW,medium,Gunning,SW-NSW,high,Gunning,1.74,Y,,,30.0
NSW1,Guthega,SW-NSW,medium,Guthega,SW-NSW,high,Guthega,0.07,Y,,,60.0
NSW1,Hanworth BESS - KCI,CWO,review,Hanworth,NEW,medium,Central South Hub (Hub 1),30.47,N,boundary_swap,low,
NSW1,Hanworth Battery,CWO,review,Hanworth,NEW,medium,Central South Hub (Hub 1),30.47,N,boundary_swap,low,1200.0
NSW1,Hargraves BESS,CWO,medium,Hargraves,CWO,medium,Mudgee,29.11,Y,,,300.0
NSW1,Hills of Gold Wind Farm,NEW,medium,Hills of Gold,NEW,high,Central South Hub (Hub 1),9.94,Y,,,400.0
NSW1,Hillston Sun Farm,SW-NSW,medium,Hillston,SW-NSW,high,Hillston,2.12,Y,,,110.0
NSW1,Holbrook SF,Unclassified,review,,SW-NSW,high,Uranquinty,11.31,N,excluded_method_1,medium,
NSW1,Hunter Power Station,HCC,medium,Hunter,HCC,high,Maitland,9.73,Y,,,375.0
NSW1,Jemalong Solar,CWO,medium,Jemalong,CWO,high,Jemalong,3.38,Y,,,55.0
NSW1,Jeremiah WF,NEW,medium,Jeremiah,SW-NSW,medium,Blowering,38.71,N,corridor_misread,high,
NSW1,Jindera BESS - Storage - KCI,SW-NSW,medium,Jindera,SW-NSW,high,Jindera,0.43,Y,,,250.0
NSW1,Jounama,SW-NSW,medium,Jounama,SW-NSW,high,Jounama,0.27,Y,,,14.4
NSW1,Junction Rivers,CWO,medium,Junction Rivers,SW-NSW,high,Balranald,8.73,N,boundary_swap,low,
NSW1,Junction Rivers Wind And BESS,CWO,medium,Junction Rivers,SW-NSW,high,Balranald,8.73,N,boundary_swap,low,595.2
NSW1,Junee Solar Farm,SW-NSW,medium,Junee,SW-NSW,high,Junee,5.6,Y,,,36.01
NSW1,Kangaroo Valley BESS,ILW,medium,Kangaroo Valley,ILW,high,Kangaroo Valley,1.89,Y,,,364.8
NSW1,Keepit,NEW,medium,Keepit,NEW,high,Keepit,0.17,Y,,,7.2
NSW1,Kingswood BESS,SW-NSW,medium,Kingswood,NEW,high,Tamworth,4.87,N,corridor_misread,high,250.0
NSW1,Kurri Kurri Battery,HCC,medium,Kurri Kurri,HCC,medium,Maitland,11.52,Y,,,1200.0
NSW1,Kurri Kurri OCGT,HCC,medium,Kurri Kurri,HCC,high,Maitland,9.73,Y,,,
NSW1,Lake Lyell Pumped Hydro,CWO,medium,Lake Lyell,CWO,high,Mt Piper,4.89,Y,,,385.0
NSW1,Lake Victoria Energy Park - KCI,SW-NSW,medium,Lake Victoria,SW-NSW,review,Buronga,83.97,Y,,,1087.5
NSW1,Liddell,HCC,high,Liddell,HCC,high,Liddell,1.49,Y,,,
