unit,n,T_conditioned,p_conditioned,tested,at_floor
CWO,87,49.64,0.001049989500104999,True,False
HCC,51,67.4,5.999940000599994e-05,True,False
NEW,100,77.71,2.999970000299997e-05,True,False
SW-NSW,116,15.75,0.4664853351466485,True,False
ILW,22,136.08,1.999980000199998e-05,True,False
CN-VIC,69,35.75,0.011679883201167989,True,False
MR,19,17.35,0.41956580434195656,True,False
WV,47,31.41,0.037699623003769965,True,False
GIP,48,25.96,0.09123908760912391,True,False
SW-VIC,52,26.31,0.07571924280757192,True,False
MN,78,45.18,0.0003199968000319997,True,False
SE-SA,17,17.83,0.3936260637393626,True,False
RIV,7,21.38,,False,False
EYR,13,22.49,0.23119768802311977,True,False
TAS-NW,43,30.55,0.026559734402655973,True,False
WD,33,25.61,0.13740862591374087,True,False
SD,27,67.61,0.0032499675003249966,True,False
DD,14,19.87,0.3074569254307457,True,False
TG,5,11.33,,False,False
WG,29,53.87,0.006039939600603994,True,False
FNQ,28,20.11,0.26067739322606776,True,False
CQ,98,33.07,0.015139848601513985,True,False
SEQ,20,28.62,0.05835941640583594,True,False
