region,site_name,lat,lon,source,source_url_or_ref,confidence,spike_class,expected_catchment,spike_rationale,best_capacity_mw,technology,fuel,owner,duid,status
NSW1,101 Miller Street,,,,,,,,,,,,,,
NSW1,133 Castlereagh St,,,,,,,,,,,,,,
NSW1,20 Bond St,,,,,,,,,,,,,,
NSW1,275 Kent St,,,,,,,,,,,,,,
NSW1,40 Mount St,,,,,,,,,,,,,,
NSW1,8 Chifley Place,,,,,,,,,,,,,,
NSW1,ACT Renewables Battery Storage,,,,,,,,,,,,,,
NSW1,Acacia SF,,,,,,,,,,,,,,
NSW1,Albury Renewable Energy Facility,,,,,,,,,,,,,,
NSW1,Appin,,,,,,,,,55.62,Reciprocating Engine - Spark ignition,Fossil - Waste Coal Mine Gas,EDL CSM NSW Pty Ltd,APPIN,In Service
NSW1,Apsley BESS Project,,,,,,,,,120.0,Storage - Battery,Other - Other, ACENergy Pty Ltd ,,Publicly Announced
NSW1,Aquila Wind,,,,,,,,,200.0,Wind Turbine - Onshore,Wind - Wind,ACEN Australia Pty Ltd,,Publicly Announced
NSW1,Aquila Wind Farm,,,,,,,,,,,,,,
NSW1,Argoon Wind Farm (RES Group) - KCI,,,,,,,,,612.0,Wind Turbine - Onshore,Wind - Wind,RES Australia Pty Ltd,,Publicly Announced
NSW1,Argyle Solar Farm,,,,,,,,,59.8,Solar PV - Single axis tracking,Solar - Solar,Argyle Solar Farm Pty Ltd,,Publicly Announced
NSW1,Armidale BESS,,,,,,,,,150.0,Storage - Battery,Other - Other,Armidale BESS Project Pty Ltd,,Publicly Announced
NSW1,Armidale BESS (100),,,,,,,,,,,,,,
NSW1,Armidale BESS (150),,,,,,,,,,,,,,
NSW1,Armidale BESS (300),,,,,,,,,,,,,,
NSW1,Armidale BESS (Elgin),,,,,,,,,200.0,Storage - Battery,Other - Other,Elgin EnergyP/L,,Publicly Announced
NSW1,Armidale BESS - 150,,,,,,,,,,,,,,
NSW1,Armidale Big BESS,,,,,,,,,,,,,,
NSW1,Armidale East BESS,,,,,,,,,449.4,Storage - Battery,Other - Other,FRV,,Publicly Announced
NSW1,Armidale Pumped Hydro,,,,,,,,,,,,,,
NSW1,Arundel BESS,,,,,,,,,300.0,Storage - Battery,Other - Other,Eku Energy Projects (Australia) Trust,,Publicly Announced
NSW1,Avonlie Solar Farm,-34.9134452,146.5926128,OSM_plant,OSM:way/1149136624,medium,,,,254.1,Solar PV - Single axis tracking,Solar - Solar,Iberdrola Australia Limited,AVLSF1,In Service
NSW1,Awaba,,,,,,,,,,,,,,
NSW1,Awaba BESS,,,,,,,,,67.2,Storage - Battery,Other - Other,firmpower_NR,,Publicly Announced
NSW1,BESS Finley,,,,,,,,,100.0,Storage - Battery,Other - Other,BESS Finley P/L,,Publicly Announced
NSW1,BESS Styx - Storage - KCI,,,,,,,,,,,,,,
NSW1,Bakers Maison,,,,,,,,,,,,,,
NSW1,Baldon Wind Farm,,,,,,,,,360.0,Wind Turbine - Onshore,Wind - Wind,Baldon Wind Farm Pty Ltd,,Publicly Announced
NSW1,Baldon Wind Farm Stage 2,,,,,,,,,1040.0,Wind Turbine - Onshore,Wind - Wind,Baldon Wind Farm Pty Ltd,,Publicly Announced
NSW1,Baldon Wind Farm Stage 2 - BESS,,,,,,,,,500.0,Storage - Battery,Other - Other,Baldon Wind Farm Pty Ltd,,Publicly Announced
NSW1,Bango 973 Wind Farm,,,,,,,,,159.0,Wind Turbine - Onshore,Wind - Wind,BWF Nominees Pty Ltd as trustee for the BWF Trust,BANGOWF1,In Service
NSW1,Bango 999 Wind Farm,,,,,,,,,84.8,Wind Turbine - Onshore,Wind - Wind,BWF Nominees Pty Ltd as trustee for the BWF Trust,BANGOWF2,In Service
NSW1,Bango Wind Farm,-34.5770062,148.8304402,OSM_plant,OSM:relation/13986215,medium,,,,,,,,,
NSW1,Bankstown Sports Club,,,,,,,,,,,,,,
NSW1,Bannaby BESS,,,,,,,,,700.0,Storage - Battery,Other - Other,Penso Power Australia Pty Ltd.,,Publicly Announced
NSW1,Bannaby BESS (AMPYR) - KCI,,,,,,,,,,,,,,
NSW1,Barwon Solar Farm & BESS,,,,,,,,,250.0,Solar PV - Single axis tracking,Solar - Solar,Elgin Energy Pty Ltd,,Publicly Announced
NSW1,Bayswater,-32.395,150.95,manual,Bayswater PS Wikipedia / OSM,high,prior,NEW,NSW prior — per Transgrid TAPR NEW REZ collector,685.0,Turbine - Steam Sub Critical,Fossil - Black Coal,AGL Macquarie Pty Limited,BW01,In Service
NSW1,Belconnen,,,,,,,,,,,,,,
NSW1,Belhaven Renewable Project,,,,,,,,,408.0,Storage - Battery,Other - Other,Vena Energy Services (Australia) Pty Ltd,,Publicly Announced
NSW1,Bellambi Heights Renewables Project,,,,,,,,,408.0,Storage - Battery,Other - Other,Vena Energy,,Publicly Announced
NSW1,Bells Mountain,,,,,,,,,,,,,,
NSW1,Bells Mountain Pumped Hydro,,,,,,,,,,,,,,
NSW1,Belrose,,,,,,,,,,,,,,
NSW1,Ben Bullen BESS,,,,,,,,,200.0,Storage - Battery,Other - Other,Tetris Energy,,Publicly Announced
NSW1,Ben Bullen Solar Farm,,,,,,,,,,,,,,
NSW1,Ben Bullen Wind Farm,,,,,,,,,,,,,,
NSW1,Bendemeer Renewable Energy Hub - Solar - KCI,,,,,,,,,218.0,Solar PV - Fixed,Solar - Solar,Athena Energy Australia (Holdings) Pty Ltd,,Publicly Announced
NSW1,Bendemeer Renewable Energy Hub - Storage - KCI,,,,,,,,,100.0,Storage - Battery,Other - Other,Athena Energy Australia (Holdings) Pty Ltd,,Publicly Announced
NSW1,Bendemeer Renewable Energy Hub - Wind - KCI,,,,,,,,,380.0,Wind Turbine - Onshore,Wind - Wind,Athena Energy Australia (Holdings) Pty Ltd,,Publicly Announced
NSW1,Beresfield BESS,,,,,,,,,225.6,Storage - Battery,Other - Other,firmpower_NR,,Publicly Announced
NSW1,Beryl BESS,,,,,,,,,100.0,Storage - Battery,Other - Other,Ratch-Australia Corporation,,Publicly Announced
NSW1,Beryl Solar Farm,-32.3548399,149.4717426,OSM_plant,OSM:way/948166814,medium,,,,98.4,Solar PV - Single axis tracking,Solar - Solar,FS NSW Project No 1 AT Pty Ltd as trustee of FS NSW Project No 1 Asset Trust,BERYLSF1,In Service
NSW1,Biala Wind Farm,-34.5902289,149.3533473,OSM_plant,OSM:relation/17885572,medium,,,,,,,,,
NSW1,Birriwa BESS,,,,,,,,,600.0,Storage - Battery,Solar - Solar,ACEN RENEWABLES,,Publicly Announced
NSW1,Birriwa Solar Farm,,,,,,,,,600.0,Solar PV - Fixed,Solar - Solar,ACEN RENEWABLES,,Publicly Announced
NSW1,Blackmores,,,,,,,,,,,,,,
NSW1,Blayney,-33.6243564,149.1979416,OSM_plant,OSM:relation/11358377,medium,,,,,,,,,
NSW1,Blind Creek SF,,,,,,,,,,,,,,
NSW1,Blind Creek Solar Farm,,,,,,,,,,,,,,
NSW1,Blind Creek Solar Farm and Battery Energy Storage System,,,,,,,,,378.0,Solar PV - Single axis tracking,Solar - Solar,Ms BCSF Holdings Pty Ltd as trustee for the Blind Creek Solar Farm Trust,,Publicly Announced
NSW1,Blowering,-35.3985715,148.2462035,OSM_plant,OSM:way/439868270,medium,,,,80.0,Hydro - Dam,Hydro - Water,Snowy Hydro Ltd,BLOWERNG,In Service
NSW1,Boco Rock Wind Farm,-36.599737,149.1122643,OSM_plant,OSM:relation/8500607,medium,,,,98.6,Wind Turbine - Onshore,Wind - Wind,South Pacific Power Pty Ltd,BOCOROC2,Publicly Announced
NSW1,Bodangora Wind Farm,-32.398724,149.0685725,OSM_plant,OSM:relation/10076471,medium,shared_boundary,CWO,keyword: Bodangora; capacity: 113.19,113.19,Wind Turbine - Onshore,Wind - Wind,Bodangora Wind Farm Pty Ltd,BODWF1,In Service
NSW1,Bogan River,,,,,,,,,,,,,,
NSW1,Boggabri solar and storage project,,,,,,,,,9.8,Storage - Battery,Solar - Solar,Photon Energy,,Publicly Announced
NSW1,Boiling Down BESS,,,,,,,,,260.0,Storage - Battery,Other - Other,Hanwha Energy Australia Pty Ltd,,Publicly Announced
NSW1,Bomen Solar Farm,-35.0475321,147.441094,OSM_plant,OSM:relation/12774603,medium,,,,121.0,Solar PV - Single axis tracking,Solar - Solar,Spark Infrastructure Holdings No. 6 Pty Limited,BOMENSF1,In Service
