state,sld_page,substation_name,substation_code,voltage_levels,connected_substations,generators_attached,notes
QLD,QLD-a,BARRON GORGE PS,T54,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,TULLY,T48,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,KAMERUNGA,T53,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,INGHAM SOUTH,T157,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,INGHAM,T47,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,CARDWELL,T134,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,CAIRNS,T51,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,CITY,T165,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,CAIRNS NORTH,T93,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,WOREE,H39,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,TURKINJE,T55,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,YALKULA,T158,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,CRAIGLIE,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,CHALUMBIN,H32,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,KAREEYA PS,T49,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,YABULU SOUTH,H56,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,KIDSTON,T77,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,MILLCHESTER,T95,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,EDMONTON,T129,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,INNISFAIL,T50,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,EL ARISH,T171,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,ROSS,H13,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,WALKAMIN,H60,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,MT EMERALD WF,H84,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,LAKELAND,T159,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,KIDSTON SF,T239,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,CHARTERS,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,TOWERS,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,CAPE RIVER,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,SVC 1,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,CAPE,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,RIVER EAST,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,HUGHENDEN,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,JARDINE,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,KENNEDY,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,ENERGY,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-a,RIVER,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,TPGR,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,NSGR,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,MT STUART GT PS,T143,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,TOWNSVILLE EAST,T094,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,TOWNSVILLE SOUTH,T56,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,STUART,T44,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,GARBUTT,T46,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,TOWNSVILLE ZINC,T140,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,ALAN SHERRIFF,T150,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,BOHLE,SSBHL,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,SSBHL,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,AITKENVALE,SSAVL,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,SSAVL,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,CRANBROOK,SSCBK,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,SSCBK,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,TOWNSVILLE PS,T144,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,TOWNSVILLE,T145,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,DAN GLEESON,T092,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,BLACK,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,BOIN,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,DGBL,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,GRBL,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,DGBL DGCR,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,DGRM,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,DGCR,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,GAAV,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,GAAVHPGR,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,INVICTA MILL,T36,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,CLARE SOUTH,T193,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,BOWEN,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,STRATHMORE,H35,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,HAUGHTON RIVER,H91,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,SUN METALS SF,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,KING CREEK,T177,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,COLLINSVILLE,T37,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,NEWLANDS,T69,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,STONY CREEK,T178,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,HAVILAH,T184,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,BLUE VALLEY,T183,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,FIG TREE,T185,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,COLLINSVILLE SF,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,CLARE SF,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,PROSERPINE,T39,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,NORTH GOONYELLA,T137,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,GOONYELLA RIVERSIDE,T212,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,HAYMAN,Z5,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,CRUSH,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,DAYDREAM,Z6,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,WHITSUNDAY,Z2,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,HAMILTON,Z3,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-b,SPRINGLANDS,T242,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,MACKAY,T38,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,PIONEER VALLEY,T141,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,RACECOURSE,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,MORANBAH,T34,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,BROADLEA,T198,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,PEAK DOWNS,T110,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,COPPABELLA,T107,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,BURTON,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,DOWNS,T110,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,KEMMIS,T67,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,WANDOO,T106,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,NEBO,H11,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,BOLINGBROKE,T175,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,MINDI,T172,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,DYSART,T35,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
