site_name,region,project_lat,project_lon,project_coord_source,spike_class,expected_catchment,method,transmission_catchment,catchment_confidence,nearest_substation,nearest_substation_rez,distance_km,exclusion_pattern_matched,region_mismatch,notes
101 Miller Street,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
133 Castlereagh St,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
20 Bond St,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
275 Kent St,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
40 Mount St,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
8 Chifley Place,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
ACT Renewables Battery Storage,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Acacia SF,NSW1,-31.2317,151.0178,aemo_filing,,,spatial_join,NEW,high,Central Hub (Hub 5),NEW,9.24,,False,
Albury Renewable Energy Facility,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Appin,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Apsley BESS Project,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Aquila Wind,NSW1,-32.84,149.13,state_portal,,,spatial_join,CWO,medium,Molong,CWO,34.91,,False,
Aquila Wind Farm,NSW1,-32.7833,149.0833,locality_proxy,,,spatial_join,CWO,medium,Wellington,CWO,30.64,,False,
Argoon Wind Farm (RES Group) - KCI,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Argyle Solar Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Armidale BESS,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Armidale BESS (100),NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Armidale BESS (150),NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Armidale BESS (300),NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Armidale BESS (Elgin),NSW1,-30.5,151.72,proponent_site,,,spatial_join,NEW,high,Armidale,NEW,3.69,,False,
Armidale BESS - 150,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Armidale Big BESS,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Armidale East BESS,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Armidale Pumped Hydro,NSW1,-30.8087,152.2017,osm_plant,,,spatial_join,NEW,medium,Metz,NEW,46.64,,False,
Arundel BESS,NSW1,-35.2448,147.4516,proponent_site,,,spatial_join,SW-NSW,high,Wagga,SW-NSW,7.21,,False,
Avonlie Solar Farm,NSW1,-34.9134452,146.5926128,OSM_plant,,,spatial_join,SW-NSW,high,Lockhart,SW-NSW,18.11,,False,
Awaba,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Awaba BESS,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
BESS Finley,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
BESS Styx - Storage - KCI,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bakers Maison,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Baldon Wind Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Baldon Wind Farm Stage 2,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Baldon Wind Farm Stage 2 - BESS,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bango 973 Wind Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bango 999 Wind Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bango Wind Farm,NSW1,-34.5770062,148.8304402,OSM_plant,,,spatial_join,SW-NSW,high,Rye Park,SW-NSW,11.81,,False,
Bankstown Sports Club,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bannaby BESS,NSW1,-34.4415,149.9951,locality_proxy,,,spatial_join,ILW,medium,Bannaby,ILW,5.12,,False,
Bannaby BESS (AMPYR) - KCI,NSW1,-34.44,149.961,locality_proxy,,,spatial_join,ILW,medium,Bannaby,ILW,8.24,,False,
Barwon Solar Farm & BESS,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bayswater,NSW1,-32.395,150.95,manual,prior,NEW,spatial_join,HCC,high,Bayswater,HCC,0.64,,False,
Belconnen,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Belhaven Renewable Project,NSW1,-35.20046,147.37152,aremi,,,spatial_join,SW-NSW,high,Wagga,SW-NSW,2.02,,False,
Bellambi Heights Renewables Project,NSW1,-32.31872,149.47054,aremi,,,spatial_join,CWO,high,Beryl,CWO,3.4,,False,
Bells Mountain,NSW1,-32.2454,150.9344,wikipedia,,,spatial_join,HCC,high,Muswellbrook,HCC,2.66,,False,
Bells Mountain Pumped Hydro,NSW1,-32.2675,150.8906,state_portal,,,spatial_join,HCC,high,Muswellbrook,HCC,6.93,,False,
Belrose,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ben Bullen BESS,NSW1,-33.17,150.05,proponent_site,,,spatial_join,CWO,medium,Wallerawang,CWO,26.44,,False,
Ben Bullen Solar Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ben Bullen Wind Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bendemeer Renewable Energy Hub - Solar - KCI,NSW1,-30.887,151.17,proponent_site,,,spatial_join,NEW,high,Bendemeer,NEW,1.85,,False,
Bendemeer Renewable Energy Hub - Storage - KCI,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bendemeer Renewable Energy Hub - Wind - KCI,NSW1,-30.92972,151.24234,aremi,,,spatial_join,NEW,high,Bendemeer,NEW,10.23,,False,
Beresfield BESS,NSW1,-32.7975,151.6433,state_portal,,,spatial_join,HCC,high,Beresfield,HCC,0.55,,False,
Beryl BESS,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Beryl Solar Farm,NSW1,-32.3548399,149.4717426,OSM_plant,,,spatial_join,CWO,high,Beryl,CWO,1.25,,False,
Biala Wind Farm,NSW1,-34.5902289,149.3533473,OSM_plant,,,spatial_join,SW-NSW,high,Gullen Range,SW-NSW,9.92,,False,
Birriwa BESS,NSW1,-32.1264,149.5181,wikipedia,,,spatial_join,CWO,high,Merotherie,CWO,8.23,,False,
Birriwa Solar Farm,NSW1,-32.1264,149.5181,wikipedia,,,spatial_join,CWO,high,Merotherie,CWO,8.23,,False,
Blackmores,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Blayney,NSW1,-33.6243564,149.1979416,OSM_plant,,,spatial_join,CWO,medium,Orange,CWO,39.79,,False,
Blind Creek SF,NSW1,-35.1695,149.4691,aremi,,,spatial_join,ILW,high,Capital,ILW,5.33,,False,
Blind Creek Solar Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Blind Creek Solar Farm and Battery Energy Storage System,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Blowering,NSW1,-35.3985715,148.2462035,OSM_plant,,,spatial_join,SW-NSW,high,Blowering,SW-NSW,0.08,,False,
Boco Rock Wind Farm,NSW1,-36.599737,149.1122643,OSM_plant,,,spatial_join,SW-NSW,high,Boco Rock,SW-NSW,2.91,,False,
Bodangora Wind Farm,NSW1,-32.398724,149.0685725,OSM_plant,shared_boundary,CWO,spatial_join,CWO,high,Wellington,CWO,17.35,,False,
Bogan River,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Boggabri solar and storage project,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Boiling Down BESS,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bomen Solar Farm,NSW1,-35.0475321,147.441094,OSM_plant,,,spatial_join,SW-NSW,high,Bomen,SW-NSW,4.27,,False,
Bonnie Brae Hybrid Plant,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bonshaw Hybrid Solar Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bonshaw Solar Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bookham WF & BESS,NSW1,-34.8143,148.6408,locality_proxy,,,spatial_join,SW-NSW,medium,Burrinjuck,SW-NSW,21.42,,False,
Boree Solar Project,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bowmans Creek Wind Farm,NSW1,-32.4,151.1,manual,shared_boundary,NEW,spatial_join,HCC,high,Liddell,HCC,11.58,,False,
Brewongle Solar Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Broadwater,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Brocklehurst Solar Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Broken Hill,NSW1,-31.9862486,141.4194412,OSM_plant,,,spatial_join,SW-NSW,high,Broken Hill,SW-NSW,0.03,,False,
Broken Hill Energy Storage Centre,NSW1,-31.97,141.49,state_portal,,,spatial_join,SW-NSW,high,Broken Hill,SW-NSW,6.92,,False,
Broken Hill GT,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Broken Hill Solar Plant,NSW1,-31.9873817,141.3927678,OSM_plant,,,spatial_join,SW-NSW,high,Broken Hill,SW-NSW,2.49,,False,
Brown Mountain Hydro Power Station,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bullawah Wind Farm – Stage 1,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Burgmanns BESS,NSW1,-31.155,150.9055,proponent_site,,,spatial_join,NEW,high,Tamworth,NEW,4.47,,False,
Buronga BESS - Storage - KCI,NSW1,-34.1692,142.1813,aemo_filing,,,spatial_join,SW-NSW,high,Buronga,SW-NSW,10.29,,False,
Burrawong BESS – Stage 2,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Burrawong Wind Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Burrawong Wind Farm BESS – Stage 1,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Burrawong Wind Farm – Stage 1,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Burrawong Wind Farm – Stage 2,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Burrendong,NSW1,-32.6646245,149.1079587,OSM_plant,,,spatial_join,CWO,medium,Wellington,CWO,20.44,,False,
Burrendong WF,NSW1,-32.677,149.2438,osm_plant,,,spatial_join,CWO,medium,Wellington,CWO,31.13,,False,
Burrendong Wind Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Burrinjuck,NSW1,-35.0030084,148.5828644,OSM_plant,,,spatial_join,SW-NSW,high,Burrinjuck,SW-NSW,0.23,,False,
Burroway BESS,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bushranger Hybrid Facility - Battery,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bushranger Hybrid Facility - Solar,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
CRS Canberra,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Calala Battery Energy Storage System 1 (CABESS1),NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Calala Battery Energy Storage System 2 (CABESS2),NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Canyonleigh BESS,NSW1,-34.6464,149.965,aemo_filing,,,spatial_join,ILW,high,Marulan,ILW,8.75,,False,
Capital 2 Wind Farm,NSW1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Capital Battery,NSW1,-35.3382597,149.2155373,OSM_plant,,,spatial_join,ILW,high,Sutton Forest,ILW,17.37,,False,
Capital East Solar Farm P1,NSW1,-35.1808439,149.5474901,OSM_plant,,,spatial_join,ILW,high,Capital,ILW,2.3,,False,
