site_name,region,method,transmission_catchment,catchment_confidence,nearest_substation,nearest_substation_rez,distance_km,exclusion_pattern_matched,project_lat,project_lon,project_coord_source,spike_class,expected_catchment
Pottinger Energy Park - Wind - KCI,NSW1,spatial_join,NEW,medium,Quirindi,NEW,27.44,,-31.3,150.5,manual,prior,SW-NSW
Pottinger Energy Park - Battery - KCI,NSW1,spatial_join,NEW,medium,Quirindi,NEW,27.44,,-31.3,150.5,manual,prior,SW-NSW
Pottinger Energy Park - Solar - KCI,NSW1,spatial_join,NEW,medium,Quirindi,NEW,27.44,,-31.3,150.5,manual,prior,SW-NSW
Hanworth Battery,NSW1,spatial_join,HCC,medium,Glenbawn,HCC,37.18,,-31.8,150.85,manual,prior,Unclassified
Glenbawn Pumped Hydro Project,NSW1,spatial_join,HCC,high,Glenbawn,HCC,9.61,,-32.1,151.1,manual,prior,Unclassified
Goulburn River Solar Farm And BESS,NSW1,spatial_join,HCC,high,Bylong,HCC,7.31,,-32.35,150.1,manual,prior,CWO
Yarrabee Solar Power Project,NSW1,spatial_join,NEW,high,Bayswater,NEW,9.84,,-32.4,151.05,manual,prior,SW-NSW
Bayswater,NSW1,spatial_join,NEW,high,Bayswater,NEW,0.64,,-32.395,150.95,manual,prior,NEW
LYA BESS,VIC1,spatial_join,GIP,high,Loy Yang,GIP,1.62,,-38.26,146.59,manual,prior,GIP
Koorangie Energy Storage System,VIC1,spatial_join,MR,high,Kerang,MR,8.97,,-35.85,143.91,manual,prior,MR
Koorangie BESS Stage 2,VIC1,spatial_join,MR,high,Kerang,MR,8.97,,-35.85,143.91,manual,prior,MR
Cathedral Rocks,SA1,spatial_join,EYR,medium,Port Lincoln,EYR,26.77,,-34.856,135.582,manual,prior,EYR
Salt Creek Wind Farm,VIC1,spatial_join,SW-VIC,high,Salt Creek,SW-VIC,1.7,,-37.917,142.782,manual,prior,SW-VIC
Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),SA1,spatial_join_excluded,Unclassified,excluded,,,,Pumping Station,-34.92,139.3,manual,prior,EXCLUDE-pumping
Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,SA1,spatial_join_excluded,Unclassified,excluded,,,,Pipeline No 1 PS,-34.0,139.66,manual,prior,EXCLUDE-pipeline
Morgan To Whyalla Pipeline No 2 PS,SA1,spatial_join_excluded,Unclassified,excluded,,,,Pipeline No 2 PS,-34.0,138.7,manual,prior,EXCLUDE-pipeline
Morgan To Whyalla Pipeline No 3 PS,SA1,spatial_join_excluded,Unclassified,excluded,,,,Pipeline No 3 PS,-33.5,138.1,manual,prior,EXCLUDE-pipeline
Morgan To Whyalla Pipeline No 4 PS,SA1,spatial_join_excluded,Unclassified,excluded,,,,Pipeline No 4 PS,-33.2,137.8,manual,prior,EXCLUDE-pipeline
Western Downs Green Power Hub,QLD1,spatial_join,WD,high,Western Downs Switching Station,WD,0.0,,-26.674,150.58,manual,qld_control,WD
MacIntyre Wind Farm,QLD1,spatial_join,SD,medium,Karara,SD,24.53,,-28.396,151.205,manual,qld_control,SD
Kogan Creek,QLD1,spatial_join,WD,high,Kogan Creek,WD,0.0,,-26.828,150.745,manual,qld_control,WD
Aldoga Solar Farm,QLD1,spatial_join,CQ,high,Aldoga,CQ,0.0,,-23.946,151.16,manual,qld_control,CQ
Stanwell,QLD1,spatial_join,CQ,high,Stanwell,CQ,0.0,,-23.546,150.336,manual,qld_control,CQ
