site_name,region,method,transmission_catchment,catchment_confidence,nearest_substation,nearest_substation_rez,distance_km,exclusion_pattern_matched,project_lat,project_lon,project_coord_source,spike_class,expected_catchment
Bayswater,NSW1,spatial_join,HCC,high,Bayswater,HCC,0.64,,-32.395,150.95,manual,prior,NEW
Bodangora Wind Farm,NSW1,spatial_join,CWO,high,Wellington,CWO,17.35,,-32.398724,149.0685725,OSM_plant,shared_boundary,CWO
Bowmans Creek Wind Farm,NSW1,spatial_join,HCC,high,Liddell,HCC,11.58,,-32.4,151.1,manual,shared_boundary,NEW
Glenbawn Pumped Hydro Project,NSW1,spatial_join,HCC,high,Glenbawn,HCC,9.61,,-32.1,151.1,manual,prior,Unclassified
Goulburn River BESS,NSW1,spatial_join,HCC,high,Bylong,HCC,7.31,,-32.35,150.1,manual,shared_boundary,CWO
Goulburn River SF,NSW1,spatial_join,HCC,high,Bylong,HCC,7.31,,-32.35,150.1,manual,shared_boundary,CWO
Goulburn River Solar Farm And BESS,NSW1,spatial_join,HCC,high,Bylong,HCC,7.31,,-32.35,150.1,manual,prior,CWO
Hanworth BESS - KCI,NSW1,spatial_join,NEW,medium,Central South Hub (Hub 1),NEW,30.47,,-31.8,150.85,manual,shared_boundary,CWO
Hanworth Battery,NSW1,spatial_join,NEW,medium,Central South Hub (Hub 1),NEW,30.47,,-31.8,150.85,manual,prior,Unclassified
Maxwell Downs Bess - KCI,NSW1,spatial_join,HCC,high,Muswellbrook,HCC,8.69,,-32.3,150.95,manual,shared_boundary,CWO
Maxwell Downs Solar Farm - KCI,NSW1,spatial_join,HCC,high,Muswellbrook,HCC,8.69,,-32.3,150.95,manual,shared_boundary,CWO
Maxwell Solar Farm,NSW1,spatial_join,HCC,high,Muswellbrook,HCC,8.69,,-32.3,150.95,manual,shared_boundary,CWO
Mullion Creek Wind Farm,NSW1,spatial_join,CWO,high,Orange,CWO,2.72,,-33.25,149.11,manual,shared_boundary,CWO
Pottinger Energy Park - Battery - KCI,NSW1,spatial_join,NEW,high,Garoo,NEW,19.0,,-31.3,150.5,manual,prior,SW-NSW
Pottinger Energy Park - Solar - KCI,NSW1,spatial_join,NEW,high,Garoo,NEW,19.0,,-31.3,150.5,manual,prior,SW-NSW
Pottinger Energy Park - Wind - KCI,NSW1,spatial_join,NEW,high,Garoo,NEW,19.0,,-31.3,150.5,manual,prior,SW-NSW
Shoalhaven Expansion,NSW1,spatial_join,ILW,high,Shoalhaven Expansion,ILW,0.0,,-34.78,150.4,manual,shared_boundary,ILW
