site_name,transmission_catchment,catchment_confidence,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags
Abermain BESS,Unclassified,review,No rule matched — manual review needed,,200.0,Storage - Battery,Other - Other,FIrm Power P/L,tier_3,0,
Aldi Brendale,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Aldi Brendale,0.931,Solar PV - Fixed,Solar,TBA,tier_3,0,
Aldoga BESS Stage 1,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Aldoga,400.0,Storage - Battery,Other - Other,Acciona Energy Australia Global,tier_1,0,
Aldoga Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Aldoga,535.21,Solar PV - Single axis tracking,Solar - Solar,Acciona Energy Australia Global Pty Ltd,tier_1,0,
Alligator Creek BESS,Unclassified,review,No rule matched — manual review needed,,120.0,Storage - Battery,Other - Other,Alligator Creek BESS Pty Ltd,tier_3,0,
Aramara Solar Farm,Unclassified,review,No rule matched — manual review needed,,101.4,Solar PV - Single axis tracking,Solar,Aramara Solar Pty Ltd,tier_3,0,
Archer Point Wind Farm,FNQ,high,FNQ corridor (Townsville and north),Archer Point,120.0,Wind Turbine - Onshore,Wind,Wind Power Queensland Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Ardandra Solar Farm And BESS,Unclassified,review,No rule matched — manual review needed,,96.99,Solar PV - Single axis tracking,Solar - Solar,Ardandra SF Pty Ltd as trustee for Ardandra SF Trust,tier_3,0,
Baking Board BESS (MMT),WD,high,WD substation/Chinchilla corridor,Baking Board,300.0,Storage - Battery,Other - Other,MMT Projects T/A Renewable Projects Management,tier_3,0,
Baking Board Battery Storage - KCI,WD,high,WD substation/Chinchilla corridor,Baking Board,400.0,Storage - Battery,Solar - Solar, Solar Projects Australia Pty Ltd,tier_3,0,
Baking Board Solar Farm,WD,high,WD substation/Chinchilla corridor,Baking Board,400.0,,Storage,Solar Projects Australia Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Baking Board Solar Farm (MMT),WD,high,WD substation/Chinchilla corridor,Baking Board,300.0,Solar PV - Fixed,Solar - Solar,MMT Projects T/A Renewable Projects Management,tier_3,0,
Baking Board Solar Farm - KCI,WD,high,WD substation/Chinchilla corridor,Baking Board,250.0,Solar PV - Fixed,Solar - Solar, Solar Projects Australia Pty Ltd,tier_3,0,
Baking Board Solar Farm Chinchilla,WD,high,WD substation/Chinchilla corridor,Chinchilla,14.7,Solar PV - Fixed,Solar,Chinchilla Solar Pty Ltd,tier_3,0,
Banana Range Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Banana Range,450.0,Wind Turbine - Onshore,Wind,Orange Creek Energy Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Banksia Solar Farm,Unclassified,review,No rule matched — manual review needed,,70.4,Solar PV - Single axis tracking,Solar - Solar,Venn Energy Pty / Banksia Solar Project Pty Ltd,tier_3,0,
Baralaba Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Baralaba,130.0,Solar PV - Fixed,Solar,FRV Services Australia Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Barcaldine Power Station,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Barcaldine,37.0,Turbine - OCGT,Natural Gas Pipeline,Ergon Energy Queensland Pty Ltd,tier_3,0,
Barcaldine Remote Community Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Barcaldine,20.0,Solar PV - Single axis tracking,Solar,Barcaldine Remote Community Solar Farm Pty Ltd,tier_3,0,
Barron Gorge,FNQ,high,FNQ corridor (Townsville and north),Barron Gorge,35.0,Hydro - Run of River,Hydro - Water,CleanCo Queensland Limited,tier_1,0,
Barunggam Solar Battery Farm,WD,medium,Western Downs region (judgement call),Barunggam,315.0,,Solar,Ubergy Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Barunggam Solar Battery Farm - Battery - KCI,WD,medium,Western Downs region (judgement call),Barunggam,100.0,Storage - Battery,Other - Other, Ubergy Pty Ltd ,tier_3,0,
Barunggam Solar Farm - KCI,WD,medium,Western Downs region (judgement call),Barunggam,315.0,Solar PV - Fixed,Solar - Solar, Ubergy Pty Ltd,tier_3,0,
Beebo Battary - KCI,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Beebo,600.0,Storage - Battery,Other - Other,BEEBO SOLAR FARM PTY LTD as Trustee For BEEBO SOLAR FARM UNIT TRUST,tier_3,1,large_tier3
Beebo Solar Farm - KCI,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Beebo,600.0,Solar PV - Fixed,Solar - Solar,BEEBO SOLAR FARM PTY LTD as Trustee For BEEBO SOLAR FARM UNIT TRUST,tier_3,1,large_tier3
Beelbee Solar Farm,DD,high,Darling Downs corridor (Dalby/Bell),Beelbee,200.0,Solar PV - Single axis tracking,Solar,Darling Downs Solar Farm Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Big G Pumped Hydro Project,Unclassified,review,No rule matched — manual review needed,,800.0,Storage - Pumped hydro,Hydro - Water,BE Power,tier_2,0,
Big T Pumped Hydro Project,Unclassified,review,No rule matched — manual review needed,,400.0,Storage - Pumped hydro,Hydro - Water,BE Power,tier_2,0,
Big-T Project,Unclassified,review,No rule matched — manual review needed,,400.0,Storage - Pumped hydro,Water,BE Power,tier_2,2,stale_proposed_4plus_releases
Birkdale,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Birkdale,0.79,Reciprocating Engine - Spark ignition,Renewable Biomass or Waste - Landfill Gas,LMS ENERGY Pty Ltd,tier_3,0,
Blackstone BESS,Unclassified,review,No rule matched — manual review needed,,331.2,Storage - Battery,Other - Other,FIrm Power P/L,tier_3,0,
Blackstone BESS 2 - KCI,Unclassified,review,No rule matched — manual review needed,,331.2,Storage - Battery,Other - Other,FIrm Power P/L,tier_3,0,
